Job Title,Founded,Size,Max,Min,Level of expireince,experience,cat
Quantitative Researcher,19,1,152000,116000,1,1,5
AI Engineering: Data Scientist/Machine Learning Engineer,223,3,152000,116000,1,1,2
Quantum Data Scientist (Industrial-Process sector),111,3,152000,116000,2,2,2
"Machine Learning Engineer, Computer Vision",10,1,152000,116000,2,5,2
Senior Data Scientist,29,3,171000,133000,1,1,3
Quantitative Researcher,9,1,171000,133000,1,4,5
RWD Healthcare Data Scientist,21,1,171000,133000,1,5,2
Senior Data Scientist,61,3,171000,133000,2,3,3
Senior Data Scientist,27,1,171000,133000,2,3,3
Data Engineer - Talent Pool,216,3,139000,110000,1,1,2
Principal Data Scientist,169,3,139000,110000,2,7,2
"Director of Engineering, Data",8,1,139000,110000,2,4,2
Senior Data Scientist - Ads Analytics / Machine Learning,16,3,139000,110000,3,5,3
Data Engineer,8,3,139000,110000,1,2,2
"Senior Data Modeler/Ontologist, Knowledge Base",17,1,139000,110000,3,5,3
Machine Learning Engineer,28,3,139000,110000,1,5,2
Senior Data Scientist,29,3,139000,110000,3,5,3
Business/Data Analyst (FP&A),21,3,139000,110000,1,1,2
Senior Data Scientist,8,1,139000,110000,2,3,3
Data Analyst,16,1,139000,110000,2,3,2
Quantitative Research Analyst,46,1,141000,82000,2,3,2
Senior Data Scientist - Central Product Insights,16,3,141000,82000,3,5,3
Machine Learning Engineer,118,3,141000,82000,2,5,2
Research Scientist - Neural Interfaces,18,3,141000,82000,3,5,2
Senior Data Scientist,165,3,141000,82000,1,2,3
Machine Learning Engineer,38,1,141000,82000,2,3,2
Staff Data Infrastructure Engineer,5,1,141000,82000,1,2,2
Quantitative Researcher - Intern,8,3,141000,82000,2,2,5
People Research Scientist,21,3,141000,82000,3,3,2
Point72 Quantitative Researcher,8,3,141000,82000,2,2,5
Senior Data Scientist - Algorithms,8,1,119000,96000,2,7,3
Senior Big Data Engineer & Data Scientist (Apps Systems Engineer 6),170,3,119000,96000,1,10,3
