Job Title,Founded,Size,Max,Min,Level of expireince,experience,cat
"Data Analyst, Predictive Analytics",24,3,218000,134000,2,4,2
Data Engineer,14,1,125000,76000,1,5,2
Artificial Intelligence/Machine Learning Engineer,62,3,125000,76000,1,2,2
Senior Business Intelligence Analyst,7,1,125000,76000,1,5,3
Data Analyst,14,3,125000,76000,1,2,2
Business Analytics Manager,7,1,125000,76000,1,4,2
"Marketing Data Analyst, Teleflora",42,3,125000,76000,2,5,2
Data Analyst,26,1,125000,76000,1,5,2
Epidemiologist Data Analyst-Urology,103,3,125000,76000,1,2,2
Data Engineer,6,1,125000,76000,1,4,2
Senior Data Analyst - User Growth,6,3,125000,76000,1,3,3
Data Scientist Applied Machine Learning,39,3,125000,76000,1,2,2
Senior Data Analyst,21,1,125000,76000,2,4,3
"Lead Data Science Instructor, Data Scientist",10,1,125000,76000,2,3,4
Quantum Principal Data Scientist (Industrial-Process sector),111,3,208000,132000,2,5,2
Behavioral Data Science Manager,8,1,208000,132000,1,3,2
Data Analyst,134,3,208000,132000,1,3,2
Senior Data Scientist,9,1,208000,132000,3,8,3
Senior Data Scientist,22,1,208000,132000,1,5,3
Data Modeler,19,1,208000,132000,2,5,2
Business Intelligence Analyst,20,1,208000,132000,1,3,2
Senior Data Scientist,22,1,208000,132000,1,5,3
Data Engineer,19,1,208000,132000,1,2,2
Data Engineer,3,3,208000,132000,1,3,2
"Instructor, Data Scientist",4,1,208000,132000,2,2,2
Data Analyst,14,1,208000,132000,2,3,2
Senior Data Scientist - Nationwide Opportunities,28,3,208000,132000,1,6,3
Data Engineer,8,1,208000,132000,1,4,2
"Field Applications Scientist, CA",12,1,208000,132000,1,2,2
Senior Data Analyst,8,1,208000,132000,1,5,3
Space Photovoltaic and Energy Technology Scientist,62,3,105000,83000,3,5,2
Data Engineer,26,1,105000,83000,2,7,2
"Senior Data Analyst, Marketing",6,1,105000,83000,1,3,3
Data Engineer,57,3,105000,83000,1,2,2
Data Analyst,22,3,105000,83000,1,1,2
Senior Data Analyst,20,1,105000,83000,1,7,3
Senior Data Analyst,15,1,105000,83000,1,5,3
"Senior Scientist, Scientific Affairs",24,1,105000,83000,2,5,3
Senior Data Scientist,109,3,105000,83000,3,5,3
Analytics Consultant,34,3,143000,75000,1,5,2
Business Intelligence Analyst,29,1,143000,75000,1,5,2
Senior Data Analyst,150,3,143000,75000,1,2,3
"Quantum Research Scientist, Test and Measurement",28,3,143000,75000,3,3,2
"Data Consultant, Direct Marketing Campaign Automation",77,3,143000,75000,1,5,2
Senior Data Analyst,42,3,143000,75000,1,4,3
Billingual Chinese - Data Analyst,6,1,143000,75000,1,3,2
Lead Data Scientist,61,3,143000,75000,3,2,4
Project Scientist,120,3,72000,34000,3,1,2
Field Application Scientist,25,1,72000,34000,2,2,2
Data Engineer - IG Tech,91,3,72000,34000,1,3,2
Scientist,17,1,72000,34000,1,1,2
Data Engineer,21,1,72000,34000,1,5,2
Data Engineer,9,1,72000,34000,1,5,2
Operation Analytics Manager,99,3,72000,34000,1,2,2
Data Engineer,17,1,72000,34000,1,3,2
Principal Research Scientist,113,3,72000,34000,2,5,2
Business Intelligence Analyst,109,3,72000,34000,2,3,2
Air Compliance Engineer/Scientist (Mid to Senior),191,3,72000,34000,1,3,3
Research Scientist - Machine Translation,30,3,72000,34000,3,2,2
"Machine Learning Engineer, Signal Processing",5,1,75000,37000,2,2,2
Survey Data Analyst,17,1,75000,37000,2,5,2
"Scientist, Bioanalytics, Gene Therapy",18,3,75000,37000,3,5,2
BI Data Analyst - Predictive Analytics,24,3,75000,37000,1,4,2
Environmental Scientist / Monitoring Lead,56,3,75000,37000,1,5,4
Scientist I,17,1,75000,37000,1,1,2
Planetary Data Engineer,86,3,75000,37000,3,2,2
VP of Data Science & Analytics,11,3,75000,37000,1,10,2
Product Data Analyst,26,3,75000,37000,1,4,2
Data Engineer,3,3,75000,37000,1,4,2
"Senior Data Scientist, Live Ops Analytics",43,3,184000,113000,1,2,3
Data Analyst / Developer,56,3,184000,113000,1,1,2
Analytics Manager,9,1,184000,113000,1,4,2
Data Analyst - Personalization,24,3,184000,113000,1,3,2
Pre-Clinical Imaging Field Application Scientist,85,3,184000,113000,1,5,2
X-Ray Tomography Scientist,62,3,184000,113000,1,5,2
"Senior Thermal Modeling Engineer(Relocation to Phoenix, AZ)",8,1,184000,113000,3,5,3
Senior Data Analyst,32,1,184000,113000,1,3,3
Senior Data Engineer - Information Security,16,3,184000,113000,1,2,3
"RD Scientist, Cellular Manufacturing",18,3,184000,113000,3,3,2
Lead Data Scientist,109,3,184000,113000,2,8,4
Postdoctoral Scientist - Guarnerio Lab - Cedars-Sinai Cancer,120,3,184000,113000,2,3,2
Senior Data Analyst,8,1,184000,113000,2,5,3
"Manager, Application & Data Engineering",35,3,184000,113000,1,6,2
Data Analyst-HEDIS & Star,45,1,184000,113000,1,2,2
Call Center Analytics Manager,87,3,164000,136000,1,5,2
Senior Data Analyst (DW),28,1,164000,136000,2,8,3
Senior Data Engineer,12,1,164000,136000,1,5,3
Operation Analytics Manager,15,1,164000,136000,1,2,2
Senior Customer Data Analyst : 20,21,1,164000,136000,1,3,3
Senior Applied Machine Learning Engineer,9,1,164000,136000,3,5,3
Postdoctoral Scientist - Svendsen Lab - Regenerative Medicine Institute,120,3,164000,136000,3,5,2
Data Analyst Junior,14,1,164000,136000,2,3,1
Big data engineer,25,1,164000,136000,1,3,2
"Scientist I, Manufacturing Sciences - West Hills",53,3,164000,136000,1,1,2
SeniorData Engineer,10,1,164000,136000,1,3,3
Data Engineer,15,1,164000,136000,1,2,2
Data Scientist,8,1,80000,46000,2,3,2
Data Scientist / Quantitative Researcher – High Frequency Futures,28,1,80000,46000,1,2,5
Tableau Data Engineer 20-0117,21,3,80000,46000,1,2,2
Quantitative Analyst,17,1,80000,46000,2,3,2
Data Engineer,28,3,80000,46000,1,2,2
Data Scientist (Entry Level),9,1,80000,46000,1,2,2
Data Engineer,21,1,80000,46000,1,3,2
Quantitative Analyst,49,1,80000,46000,1,2,2
Attribute Data Analyst - NON TECHNICAL,27,1,80000,46000,1,2,2
Data Engineer,13,1,80000,46000,2,3,2
Quantitative Researcher – Full Time,32,3,80000,46000,1,2,5
Data Analyst,22,1,80000,46000,1,3,2
Data Scientist,88,1,80000,46000,1,5,2
Data Scientist,93,1,80000,46000,1,2,2
